序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价格,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
1.0,东吴证券,601555.0,48.0,35.4,2016-01-07 12:00:00,13.07,11.5,0.8798775822494261,11.8,0.9028309104820199,9.0,2017-01-20,1.1144067796610169,13.07,12.85,False
2.0,华夏幸福,600340.0,70.0,69.9999999656,2016-01-12 12:00:00,28.1,20.48,0.7288256227758007,22.64,0.8056939501779359,9.0,2017-01-23,1.0808303886925794,28.1,23.93,False
3.0,百利电气,600468.0,11.0,10.9999998845,2016-01-13 12:00:00,15.83,12.75,0.8054327226784587,13.01,0.8218572331017056,8.0,2017-01-25,0.9308993082244427,15.82,12.1,True
4.0,浪潮信息,977.0,10.0,9.9999999936,2016-01-08 12:00:00,25.28,17.57,0.6950158227848101,25.28,1.0,8.0,2017-02-03,0.826740506329114,25.28,20.85,False
5.0,泛海控股,46.0,57.5,57.49999992,2016-01-07 12:00:00,10.27,8.73,0.8500486854917235,9.0,0.8763388510223954,9.0,2017-02-10,1.0544444444444445,10.27,9.34,False
6.0,洛阳玻璃,600876.0,2.15,2.149999839,2016-01-20 12:00:00,26.48,6.69,0.2526435045317221,18.3,0.6910876132930514,2.0,2017-03-22,1.3546448087431693,26.48,24.79,False
7.0,二三四五,2195.0,16.7,16.7,2016-01-18 12:00:00,25.3,16.64,0.6577075098814229,20.0,0.7905138339920948,8.0,2017-02-03,0.998,25.3,9.93,False
8.0,兰太实业,600328.0,7.26,7.259999956,2016-01-26 12:00:00,12.9,8.68,0.6728682170542635,9.2,0.7131782945736433,7.0,2017-02-06,1.2760869565217392,12.9,11.74,False
9.0,道氏技术,300409.0,9.9897,5.123,2016-01-14 12:00:00,63.5,51.22,0.8066141732283464,51.23,0.806771653543307,5.0,2017-02-09,1.2982627366777282,63.5,33.18,False
10.0,巨星科技,2444.0,10.3325,10.33248699,2016-01-05 12:00:00,18.99,15.67,0.8251711427066878,16.87,0.8883622959452344,9.0,2017-02-06,0.895080023710729,18.99,15.0,False
11.0,联络互动,2280.0,48.0,47.9999999278,2016-01-15 12:00:00,43.17,26.19,0.606671299513551,28.51,0.6604123233727125,7.0,2017-02-06,0.9750964573833742,43.17,11.06,False
12.0,大洋电机,2249.0,25.0,20.3319263147,2016-01-11 12:00:00,11.15,7.06,0.6331838565022421,10.01,0.8977578475336322,7.0,2017-02-06,0.8036963036963037,11.15,7.95,False
13.0,浪潮软件,600756.0,10.0,9.9999997965,2016-02-01 13:00:00,29.2,19.89,0.6811643835616439,22.05,0.7551369863013699,4.0,2017-02-20,0.966439909297052,29.2,21.25,False
14.0,厦门信达,701.0,13.0,12.9999999654,2016-01-20 12:00:00,18.18,13.34,0.7337733773377337,13.58,0.746974697469747,6.0,2017-02-27,1.079160530191458,18.18,14.6,False
15.0,万安科技,2590.0,8.4526,8.452599876,2016-01-26 12:00:00,16.95,9.98,0.5887905604719764,12.6,0.7433628318584071,7.0,2017-03-01,1.422222222222222,16.95,17.88,False
16.0,嘉事堂,2462.0,4.0,3.9999997,2016-01-21 12:00:00,40.53,28.5,0.7031828275351591,38.0,0.9375771033802122,7.0,2017-03-01,0.9828947368421053,40.53,37.1,False
17.0,鹿港文化,601599.0,10.0,9.9999998765,2016-02-19 11:30:00,18.9,9.45,0.5,15.35,0.8121693121693122,4.0,2017-03-03,1.1465798045602607,18.99,8.75,True
18.0,中科金财,2657.0,9.72,9.7199998896,2016-01-22 12:00:00,58.1,37.86,0.6516351118760757,47.19,0.8122203098106712,7.0,2017-03-08,0.8287772833227379,58.1,39.07,False
19.0,甘肃电投,791.0,18.1,18.09999541,2016-01-28 12:00:00,9.7,5.98,0.6164948453608249,7.27,0.7494845360824742,5.0,2017-03-14,1.6685006877579092,9.7,12.11,False
20.0,卫宁健康,300253.0,8.200173,8.2001726838,2016-02-25 12:00:00,33.2,33.11,0.997289156626506,33.21,1.000301204819277,3.0,2016-03-15,0.8687142426979826,33.2,28.85,False
21.0,铁汉生态,300197.0,8.45,8.4499998863,2016-02-24 12:00:00,14.2,11.4,0.8028169014084507,11.41,0.8035211267605634,4.0,2017-03-22,1.9320771253286595,14.2,13.3,False
22.0,爱康科技,2610.0,38.3,38.29999302,2016-02-25 12:00:00,10.22,9.32,0.9119373776908023,9.63,0.9422700587084148,9.0,2017-03-23,1.2315680166147454,10.22,2.94,False
23.0,捷成股份,300182.0,26.0,25.9999999824,2016-02-24 12:00:00,17.66,15.09,0.8544733861834655,15.09,0.8544733861834655,5.0,2017-04-12,0.9699527779986745,17.66,9.7,False
24.0,江特电机,2176.0,13.92245,13.92245,2016-03-03 11:00:00,11.27,9.07,0.8047914818101154,9.07,0.8047914818101154,7.0,2017-03-27,1.2216097023153252,11.28,11.08,True
,,2176.0,,,2016-03-03 17:15:00,11.02,9.07,0.823049001814882,9.07,0.823049001814882,,2017-03-27,,11.02,11.08,False
25.0,奥飞娱乐,2292.0,9.04,9.0399998747,2016-03-04 12:00:00,33.97,25.97,0.7644980865469532,28.87,0.8498675301736828,8.0,2017-03-30,0.6969172151021821,33.97,20.08,False
